time,beta,Ca,Susceptible,Exposed,Infectious_asymptomatic,Infectious_pre-symptomatic,Infectious_mild,Infectious_severe,Hospitalized_recovered,Hospitalized_deceased,Recovered,Deceased,a
0,0.5,0.4250000119209289,69.99325657894737,0.0033662629890241994,0.0019664369746501997,0.00040781070327365116,0.00015895474621385982,1.2309623322804278e-05,0.000170766507631977,0.0001704424084524621,0.00022672295447350533,1.1239088571969693e-05,0
1,0.5,0.4250000119209289,69.99132159442725,0.0034448462644718,0.0022662037986225,0.0006713041358687029,0.0006534409646031798,5.0603153781871185e-05,0.00015069893024039096,0.00015545686824156897,0.00024831168053689016,3.576634007710791e-05,0
2,0.5,0.4250000119209289,69.98850296697626,0.0041702751576959,0.0025979906363627,0.0008308331122458999,0.0011735060783360002,9.087754230873257e-05,0.0001350148223625002,0.00015412444300695838,0.0002674990320353316,5.907383988639273e-05,1
3,0.48049080797604155,0.4250000119209289,69.98475038699691,0.0053037547769926,0.0030710614404193,0.0010388746251750998,0.0017081850404214,0.00013228364158094974,0.00012318435099102764,0.00016466265000302972,0.00028483890527542167,8.309480821631149e-05,1
4,0.44800665974617004,0.4250000119209289,69.97988132094943,0.0068213092185885,0.0037411101806764,0.001324327919628,0.0023168349290652998,0.00017941811751531989,0.00011488032537840224,0.00018638773722299236,0.0003008250481573052,0.00010955774009043217,1
5,0.4177186403955732,0.4250000119209289,69.9735971362229,0.008786950204886299,0.0046568912076996,0.0017015325469495,0.0030578525098357997,0.00023680328707699927,0.00011003230870446675,0.00022005288347494247,0.0003159248668958036,0.00014019937707174674,1
6,0.38947827901159016,0.4250000119209289,69.96550051599587,0.011321689538788,0.005877005357613999,0.0021907267457310997,0.0039878953081407,0.00030882677426648215,0.00010878293752916334,0.0002675756113940102,0.00033061095435552924,0.00017696138013873183,1
7,0.370940910918372,0.4250000119209289,69.95507288441692,0.0145847373308901,0.007479480156834199,0.0028220509941484003,0.0051708120655101,0.0004004330777777484,0.00011147077976734644,0.00033193443581784843,0.00034538819201836526,0.00022215606996518538,1
8,0.3704091012477875,0.4250000119209289,69.94164602683179,0.018782503110336097,0.0095657746243153,0.0036348211014845004,0.006684276789457301,0.0005176373531943873,0.00011864465702674952,0.00041726259009141795,0.0003608208617927859,0.0002786327121919646,0
9,0.3704091012477875,0.4250000119209289,69.92436274509804,0.0241828349992337,0.0122683574097811,0.0046806187034265,0.0086258001494823,0.0006679910476730434,0.00013109726925506434,0.0005290597683381985,0.0003775630819047076,0.0003499668572094172,1
10,0.35953375697135925,0.4250000119209289,69.90211429308566,0.031129990017696604,0.0157591068043424,0.0060260282187758,0.0111197552912249,0.0008611255681178,0.00014991841818156996,0.0006745219845766095,0.0003963948231117398,0.0004406911103964098,1
11,0.3352270594664982,0.4250000119209289,69.87348297213623,0.04006683444090991,0.0202602873842534,0.007756807939432701,0.0143255352260401,0.0011093845406796,0.00017656839053820282,0.000862992978563,0.0004182668416246665,0.0005565852351232948,1
12,0.312563636473247,0.4250000119209289,69.8366415118679,0.0515591855831557,0.0260583398462692,0.0099830381789072,0.018447703075113397,0.0014286096374068,0.00021297486081827045,0.0011065552084558,0.00044435644297407883,0.0007050438635856681,1
13,0.29143240622111727,0.4250000119209289,69.78925696594428,0.06632893565269399,0.033520637567321,0.0128451777439487,0.0237483686165664,0.0018390985416057999,0.0002616580917862301,0.0014207900394715,0.00047613868772429947,0.0008955470499483,1
